pop,state,county
4198,35,23
672391,34,17
124371,34,19
491845,34,27
71367,35,31
146748,35,43
26998,35,17
48954,35,9
58460,35,15
4521,35,33
123958,35,45
8259,28,9
7713,28,37
22124,28,27
16383,28,61
68098,28,67
14286,28,147
35252,28,95
32174,28,115
17010,28,51
12297,28,5
106272,28,89
14361,28,13
24573,28,91
19383,28,141
20183,28,153
13586,28,41
35294,28,93
6792,28,119
55535,28,109
22786,28,79
29118,28,99
155271,28,121
43909,28,151
12586,28,77
11973,28,111
17103,28,17
9947,28,15
24500,28,39
20758,28,43
6990,28,63
21018,28,101
25126,28,117
4321,28,125
8210,28,19
47632,28,45
23390,28,57
1327,28,55
143617,28,59
28183,28,83
9632,28,143
8988,28,21
208080,28,47
74125,28,75
34153,28,85
26658,28,127
17955,28,159
18174,28,7
31365,39,65
45656,39,11
51113,39,37
40525,39,123
32413,39,79
58266,39,77
65327,39,9
27698,39,1
179746,39,103
428348,39,95
14424,39,121
55178,39,147
370606,39,151
36600,39,31
209177,39,41
93649,39,55
28264,39,73
230149,39,85
76666,39,141
1235072,39,35
43960,39,75
106987,39,109
13654,39,111
197974,39,155
130817,39,173
53484,39,5
4891,40,43
3688,40,59
48011,40,83
651552,40,143
51527,40,147
2653,40,57
12627,40,61
38465,40,111
46963,40,113
6002,40,67
61056,40,47
27711,40,49
43654,40,121
19572,35,27
64615,35,5
71070,35,25
150358,35,49
4059,35,59
10791,35,51
16637,35,53
18500,35,41
218195,35,13
19369,35,28
38921,35,39
27277,35,47
76688,35,61
15461,35,57
679121,35,1
67490,35,35
26675,35,6
1748,35,11
4300,35,19
3527,35,3
1418207,36,5
129375,47,179
33328,47,183
16160,47,5
15064,47,7
39842,47,13
14678,47,15
8201,47,83
96387,47,119
51353,48,373
6948,48,391
56590,48,467
43664,48,55
12769,48,487
5771,48,317
3849,48,383
8713,48,501
33406,48,189
25274,48,419
12023,48,387
10264,48,399
3776,48,435
119200,48,451
92084,48,469
41556,48,481
132230,48,485
654,48,33
9854,48,315
58722,48,323
136212,48,181
12207,48,297
29189,48,363
15601,48,255
20160,48,123
13943,48,59
30026,48,67
123945,48,183
14284,48,313
310569,48,303
136154,48,257
47431,48,259
5712,48,153
7000,48,17
43837,48,71
362924,48,27
423163,48,61
18546,48,117
839238,48,141
7520,48,283
776,48,443
21672,48,457
5056,48,483
8553,48,9
9203,48,43
868707,48,215
232751,48,423
3464,48,105
5658,48,207
36664,48,227
4873,48,333
19818,48,337
19683,27,91
15916,28,129
63343,28,73
85436,28,81
13809,28,135
45381,28,149
15541,28,23
9775,28,97
49587,28,105
9689,28,155
36953,28,3
19316,28,25
18636,28,31
8064,28,53
278299,42,43
11137,37,5
82178,37,27
159551,37,35
97947,37,45
102139,37,49
51472,37,65
60443,37,77
135976,37,85
55234,37,93
117417,37,89
4937,37,95
181806,37,97
1110356,37,119
19483,37,131
180742,37,147
142088,37,159
44535,37,181
28612,37,39
27763,37,53
239859,37,179
68412,37,193
94298,37,127
37497,37,3
37009,37,55
19731,37,185
81801,37,195
11562,37,73
8441,37,75
21755,37,115
12726,37,137
20724,37,149
143667,37,151
45591,37,169
11580,37,187
11231,37,43
335509,37,51
537174,37,81
43938,37,99
39824,37,139
130625,37,155
14271,37,173
1111761,37,183
24446,37,7
460528,36,67
23194,48,365
10542,48,403
3022,48,421
7397,48,437
98594,48,231
13094,48,63
5399,48,195
166847,48,187
10471,48,77
5576,48,205
36649,48,217
23437,48,293
-9999,48,347
9605,48,369
142878,48,367
6704,48,377
49025,48,465
2171,48,109
166223,48,135
6229,48,169
1409,48,173
28880,48,185
1034730,48,85
86715,48,5
1398,48,101
230191,48,209
374264,48,39
3278,48,129
51153,48,13
14714,48,353
4886,48,229
11998,48,475
66553,48,203
2138,48,327
25346,48,149
590551,48,491
20938,48,233
12388,48,343
83396,48,361
8010,48,495
4713325,48,201
48155,48,53
-9999,48,171
2635516,48,113
743,48,311
18010,48,503
175817,48,251
37084,48,223
9836,48,357
3664,48,275
256623,48,309
2726,48,95
1932,48,137
18360,48,133
2274,48,243
5200,48,247
607391,48,339
10124,48,127
276652,48,479
1887,48,11
7530,48,69
8393,56,31
30485,56,33
11790,56,3
7584,56,11
29194,56,29
162436,9,7
150721,9,13
943332,9,1
25473,12,133
957755,12,31
28201,12,7
601942,12,9
219252,12,19
8422,12,67
367118,12,69
88625,12,89
974996,12,103
724777,12,105
328297,12,111
13811,12,43
42022,12,51
159923,12,61
46414,12,63
1496770,12,99
264672,12,109
2716940,12,86
174705,12,5
12125,12,37
13639,12,45
8354,12,77
132420,12,119
74071,12,131
19617,12,59
14246,12,65
365579,12,83
384902,12,21
42168,12,93
553947,12,101
18582,12,41
44417,12,121
269043,12,1
14105,12,13
71686,12,23
16826,12,29
74521,12,107
433742,12,115
403253,12,81
149657,12,17
29210,12,3
553284,12,127
293582,12,73
18493,12,79
74228,12,87
193920,12,53
1471968,12,57
21569,12,123
33610,13,187
21312,13,189
19276,13,211
11923,13,149
87956,13,95
234561,13,151
157863,13,153
40062,27,99
29579,27,115
158293,27,109
13682,27,159
40889,27,9
30281,27,47
35893,27,85
11249,27,121
9805,27,149
9266,27,151
11196,27,33
149013,27,139
21627,27,157
65055,27,35
6375,27,107
34274,27,103
38141,27,41
4298,27,69
28887,27,79
5527,27,87
56579,27,25
15170,27,127
9709,27,173
24664,27,153
47188,27,7
67653,27,13
18600,27,55
6623,27,73
3740,27,77
58746,27,111
18612,27,161
199070,27,137
356921,27,3
161075,27,145
429021,27,37
5639,27,81
25474,27,83
26277,27,95
14548,27,129
35871,27,17
5463,27,31
12088,29,123
20563,29,217
22092,29,147
7426,29,41
12873,29,223
38280,29,201
11754,29,11
14349,29,39
14706,29,73
15117,29,121
10529,29,149
17894,29,186
13185,29,67
21824,29,83
38355,29,109
52607,29,169
25398,29,215
44743,29,27
16832,47,139
27345,47,185
158348,47,163
4447,42,23
628270,42,17
369318,42,77
38438,42,31
36233,42,59
317417,42,79
64964,42,37
43425,42,65
46272,42,99
6066,42,113
164292,44,3
125577,44,9
38440,45,71
33745,45,27
106721,45,85
20866,45,11
66618,45,31
280979,45,91
57300,45,21
30073,45,53
16828,45,61
24527,45,1
45672,39,91
541013,39,153
48590,39,149
36692,39,171
83728,72,61
29454,72,53
24814,72,7
39218,72,65
21209,72,133
71530,72,97
48025,72,119
26161,72,11
23121,72,33
15383,72,55
24553,72,87
-9999,12,117
115081,12,35
14428,12,47
375751,12,97
45660,12,39
770577,12,71
26937,12,49
1393452,12,95
106221,12,55
38001,12,27
188910,12,15
20733,1,99
32924,1,79
164542,1,81
13202,5,61
99386,5,51
40651,5,93
64072,5,115
8062,5,117
38682,5,139
6320,5,147
24919,5,23
7956,5,25
16719,5,67
21532,5,57
17442,5,135
12506,5,137
239187,5,143
41932,5,5
19657,5,3
110332,5,31
45325,5,55
6624,5,73
10455,5,105
23528,5,111
21341,5,149
5189,5,13
10763,5,11
16406,5,75
19964,5,113
20846,5,29
7753,5,101
12259,5,81
73309,5,85
43257,5,91
24994,5,123
78753,5,145
277680,6,47
17203,6,43
78668,6,115
1153526,6,13
30573,6,35
550660,6,99
494336,6,97
65084,6,103
14444,6,51
62808,6,69
1552058,6,67
137744,6,55
434061,6,53
3005,6,91
3338330,6,73
220500,6,113
135558,6,23
1129,6,3
157327,6,39
273213,6,87
24511,13,291
19559,13,183
66703,13,255
15860,13,271
20374,13,303
13904,22,127
440059,22,33
23884,22,85
25627,22,3
10951,22,65
31368,22,53
21096,22,93
22389,22,43
15568,22,125
432493,22,51
37497,22,11
13241,22,13
127039,22,15
6973,22,23
19135,22,37
42837,22,95
23197,22,75
153279,22,73
129648,22,79
46194,22,117
134758,22,105
62045,22,1
10830,22,123
260419,22,103
9918,22,21
6861,22,35
126604,22,5
33395,22,39
69830,22,45
47244,22,87
10132,22,91
26465,22,121
27463,22,31
8442,22,81
24874,22,67
38158,22,69
110461,22,109
9494,22,25
15670,22,27
20015,22,41
21891,22,7
15744,22,49
59511,22,113
53100,22,89
19259,22,29
14892,22,59
57975,23,17
39715,23,27
152148,23,19
108277,23,1
67055,23,3
295003,23,5
35856,23,23
17709,29,53
6571,29,75
13180,29,133
9174,29,153
12133,29,17
3959,29,103
11551,29,139
29025,29,207
25388,29,7
293086,29,77
9397,29,185
4660,29,197
46305,29,29
225081,29,99
13463,37,143
91010,37,157
10867,37,29
224529,37,71
100880,37,125
62806,37,167
18069,37,199
74470,37,37
209339,37,101
39490,37,145
27203,37,9
55949,37,107
197938,37,133
67029,37,161
37667,37,197
90485,37,23
8036,38,97
4872,38,21
67641,38,101
6801,38,67
2499,38,41
181923,38,17
3241,38,29
16177,38,77
2216,38,1
2287,38,27
8187,38,57
161000,12,85
15237,12,125
41503,12,75
184313,12,113
1952778,12,11
318316,12,33
210738,12,91
33739,12,129
5718,13,201
40280,13,219
26188,13,111
47546,13,175
25925,13,257
26320,13,293
82124,22,97
49348,22,101
22108,22,111
240204,22,17
244390,22,55
46742,22,61
38340,22,119
32511,22,47
140789,22,63
390144,22,71
19930,1,107
12427,1,119
658573,1,73
12589,1,23
31362,1,59
18863,1,91
57961,1,113
26196,1,19
37049,1,39
13772,1,41
37196,1,47
92729,1,77
9726,1,85
18068,1,87
98915,1,83
217702,1,117
89512,1,115
223234,1,3
81209,1,51
105882,1,69
79978,1,121
209355,1,125
13235,1,27
52342,1,31
33114,1,109
55241,1,33
10663,1,37
14651,1,65
102268,1,55
36633,1,53
13805,1,75
19448,1,13
8923,1,105
63521,1,127
12067,1,35
8111,1,63
22394,1,7
113605,1,15
33254,1,17
16302,1,57
226486,1,101
28296,18,179
379299,18,3
26559,18,31
114135,18,35
78522,18,43
32308,18,77
29709,1,93
27735,18,79
158167,18,81
35516,18,103
70489,18,109
33659,18,51
13984,18,111
19646,18,117
271826,18,141
79456,18,85
46258,18,99
10751,18,155
181451,18,163
70465,8,14
180786,10,1
854757,9,9
116782,9,15
8806,21,55
22188,21,115
6489,21,165
25758,21,193
19901,21,51
12630,21,25
37266,21,83
12879,21,31
18886,21,97
8210,21,143
20333,21,231
14651,21,221
9877,21,131
31145,21,121
9194,21,139
49024,21,211
20477,21,27
166998,21,117
92987,21,151
4415,21,189
25769,21,217
12294,21,219
10218,21,53
20122,22,83
203436,22,19
40144,22,9
21730,22,77
97614,22,57
4334,22,107
34634,23,15
16785,23,21
31379,23,29
39772,23,13
122302,23,11
